Rank,Profile,Fan Score,Volume,Last sale,Floor,Tweets,Profile URL,Timestamp
121,R Santos | #9159,358,114.3,0.15,0.01,65,/hero/santiagoroel,2024-06-10 11:27:45
122,Farokh (發咯),357,181,0.02,0.01,180,/hero/farokh,2024-06-10 11:27:45
123,Dom,355,116.8,0.02,0.01,66,/hero/based_d0m,2024-06-10 11:27:45
124,124vectorized.eth,353,121.6,1.5,0.01,125,/hero/optimizoor,2024-06-10 11:27:45
125,Chad,339,17.9,0.05,0.01,52,/hero/SizeChad,2024-06-10 11:27:45
126,🧙🏻‍♂️♦️,336,340.4,0.02,0.01,104,/hero/zacxbt,2024-06-10 11:27:45
127,Haines.⌐◨-◨,334,117.5,0.01,0.01,128,/hero/gabrielhaines,2024-06-10 11:27:45
128,Big Brother,333,202.4,0.03,0.01,68,/hero/machibigbrother,2024-06-10 11:27:45
129,(blast era),329,107.7,0.02,0.01,24,/hero/izebel_eth,2024-06-10 11:27:45
130,🔮,323,680,0.01,0.03,126,/hero/Zeneca,2024-06-10 11:27:45
131,⭐️🩸,321,73.8,0.1,0.01,92,/hero/Fiskantes,2024-06-10 11:27:45
132,Charlotte Fang 🐉 Crown Prince ❀ LOVE HEALS 💞,312,201.1,0.03,0.03,21,/hero/CharlotteFang77,2024-06-10 11:27:45
133,💎,309,107.5,0.5,0.01,81,/hero/ScizRtrading,2024-06-10 11:27:45
134,134z🐸,304,21.4,0.03,0.01,25,/hero/degenharambe,2024-06-10 11:27:45
135,135█̶̳̘͛̄̃͒̄̃͜█̴͇̱̅͒̅█̵̻̣̝͒̈̄̈͝͝█̴̞̜̻̝͍̂̽͜█̷̢,303,133.5,0.2,0.01,87,/hero/SHL0MS,2024-06-10 11:27:45
136,| fan/acc,248,217.3,0,0.01,64,/hero/0xKipit,2024-06-10 11:27:45
137,🟢,242,168.7,0.01,0.01,16,/hero/0xMakesy,2024-06-10 11:27:45
138,🤠,239,27.7,0.07,0.01,169,/hero/sumfattytuna,2024-06-10 11:27:45
139,139ZAGABOND.ETH,238,88.1,0.01,0.01,31,/hero/ZAGABOND,2024-06-10 11:27:45
140,140𝕯𝖆𝖓𝖌𝖊𝖗,219,23.2,0.02,0.01,119,/hero/safetyth1rd,2024-06-10 11:27:45
141,Choi,219,77.2,0.02,0.01,27,/hero/mrjasonchoi,2024-06-10 11:27:45
142,142hype,214,110.8,0.14,0.01,55,/hero/hype_eth,2024-06-10 11:27:45
143,143andy,213,126,0.01,0.01,109,/hero/andy8052,2024-06-10 11:27:45
144,Wang,207,98.9,0.02,0.01,35,/hero/j0hnwang,2024-06-10 11:27:45
145,𝕝𝕒 𝕃𝕦𝕟𝕖,196,30.4,0.02,0.01,94,/hero/vers_laLune,2024-06-10 11:27:45
146,📦,187,223.6,0.01,0.01,50,/hero/pranksy,2024-06-10 11:27:45
147,Van Ness 🧉,175,46.2,0.09,0.01,140,/hero/evan_van_ness,2024-06-10 11:27:45
148,τh,173,207.6,0,0.01,67,/hero/gmoneyNFT,2024-06-10 11:27:45
149,149palmer,170,251.8,0.01,0.01,48,/hero/bitcoinPalmer,2024-06-10 11:27:45
150,| Tensor (sol/acc),170,139.6,0.01,0.01,27,/hero/0xrwu,2024-06-10 11:27:45
151,151Sandra,157,32.6,0.01,0.01,39,/hero/sandraaleow,2024-06-10 11:27:45
152,Suwen,155,116,0.05,0.01,118,/hero/OttoSuwenNFT,2024-06-10 11:27:45
153,Yan 🥕,146,164.7,0.01,0.01,89,/hero/0xPrismatic,2024-06-10 11:27:45
154,154natealex,142,153,0.01,0.01,21,/hero/natealexnft,2024-06-10 11:27:45
155,💥🌱,130,115.4,0.01,0.01,8,/hero/xcurve_,2024-06-10 11:27:45
156,Copeland,128,161.1,0.02,0.01,23,/hero/Timccopeland,2024-06-10 11:27:45
157,Schmidt ＞|＜,106,256.4,0.01,0.01,17,/hero/tomhschmidt,2024-06-10 11:27:45
158,158barneytheboi,100,17.6,0.15,0.01,8,/hero/barneytheboi,2024-06-10 11:27:45
159,Krymo,86,157,0,0.01,75,/hero/krybharat,2024-06-10 11:27:45
160,160knower,76,24.2,0.02,0.01,22,/hero/knowerofmarkets,2024-06-10 11:27:45
161,(on fartcaster),74,163.6,0.01,0.01,8,/hero/mikedemarais,2024-06-10 11:27:45
162,🦋,31,163.8,0.01,0.01,12,/hero/sayinshallah,2024-06-10 11:27:45
163,💎⚡️,18,28.6,0.1,0.01,9,/hero/0xCaptainLevi,2024-06-10 11:27:45
164,Martin,11,115.7,0.02,0.01,1,/hero/VentureCoinist,2024-06-10 11:27:45
165,165db,0,130.6,0.11,0.17,0,/hero/tier10k,2024-06-10 11:27:45
165,165ctrl,0,23.6,0.11,0.01,0,/hero/maybectrlfreak,2024-06-10 11:27:45
